,env,agent,iteration,rewards,rewards_variance,durations,detected,missed,ttf,napfd,recall,avg_precision,step
0,apache_commons,mlp_cla_new,0,0.00424755717496595,0.004221841981822133,0.1184395466532026,2.107142857142857,0.17857142857142858,329.5,0.3028767207637573,0.9404761904761905,123.0,134.42857142857142
1,apache_commons,mlp_cla_new,1,0.004011692530704359,0.0039879092203262126,0.10139396360942296,2.0,0.2857142857142857,300.82142857142856,0.2906482600614174,0.9047619047619048,123.0,134.42857142857142
2,apache_commons,mlp_cla_new,10,0.004143328457987664,0.004119718118726042,0.10159413303647723,2.107142857142857,0.17857142857142858,377.25,0.21038680954409084,0.9404761904761905,123.0,134.42857142857142
3,apache_commons,mlp_cla_new,11,0.0042271648094296494,0.004202570475432792,0.10379796368735177,2.142857142857143,0.14285714285714285,298.92857142857144,0.3514389666488832,0.9523809523809524,123.0,134.42857142857142
4,apache_commons,mlp_cla_new,12,0.004408916899578686,0.00438247267153451,0.10975851331438337,2.2142857142857144,0.07142857142857142,350.89285714285717,0.32140223240986565,0.9761904761904762,123.0,134.42857142857142
5,apache_commons,mlp_cla_new,13,0.0042271648094296494,0.004202570475432792,0.10035974638802665,2.142857142857143,0.14285714285714285,317.0,0.33857424547061604,0.9523809523809524,123.0,134.42857142857142
6,apache_commons,mlp_cla_new,14,0.0040658050848169135,0.0040419397857204145,0.09873754637581962,2.0357142857142856,0.25,273.42857142857144,0.35809114504072587,0.9166666666666667,123.0,134.42857142857142
7,apache_commons,mlp_cla_new,15,0.004173052255317096,0.00414853991003859,0.09920803989682879,2.107142857142857,0.17857142857142858,283.14285714285717,0.3439739579828337,0.9404761904761905,123.0,134.42857142857142
8,apache_commons,mlp_cla_new,16,0.0042271648094296494,0.004202570475432792,0.09798915897096906,2.142857142857143,0.14285714285714285,421.85714285714283,0.1547846867050072,0.9523809523809524,123.0,134.42857142857142
9,apache_commons,mlp_cla_new,17,0.0040658050848169135,0.0040419397857204145,0.10244974068232945,2.0357142857142856,0.25,338.14285714285717,0.23595315813946097,0.9166666666666667,123.0,134.42857142857142
10,apache_commons,mlp_cla_new,18,0.0042271648094296494,0.004202570475432792,0.09978300333023071,2.142857142857143,0.14285714285714285,306.0,0.34829806306725714,0.9523809523809524,123.0,134.42857142857142
11,apache_commons,mlp_cla_new,19,0.004354804345466133,0.004328442106140308,0.09862846987588066,2.1785714285714284,0.10714285714285714,311.85714285714283,0.37078012629691404,0.9642857142857143,123.0,134.42857142857142
12,apache_commons,mlp_cla_new,2,0.0040658050848169135,0.0040419397857204145,0.09761146136692592,2.0357142857142856,0.25,283.32142857142856,0.34711282115829706,0.9166666666666667,123.0,134.42857142857142
13,apache_commons,mlp_cla_new,20,0.004011692530704359,0.0039879092203262126,0.09851047822407313,2.0,0.2857142857142857,301.39285714285717,0.3204586608641557,0.9047619047619048,123.0,134.42857142857142
14,apache_commons,mlp_cla_new,21,0.004193444620853396,0.004167811416427931,0.09870094060897827,2.0714285714285716,0.21428571428571427,284.85714285714283,0.38833455235425574,0.9285714285714286,123.0,134.42857142857142
15,apache_commons,mlp_cla_new,22,0.0042271648094296494,0.004202570475432792,0.09817160027367729,2.142857142857143,0.14285714285714285,305.82142857142856,0.3483096500430311,0.9523809523809524,123.0,134.42857142857142
16,apache_commons,mlp_cla_new,23,0.004408916899578686,0.00438247267153451,0.10118437664849418,2.2142857142857144,0.07142857142857142,292.5,0.4294416182634956,0.9761904761904762,123.0,134.42857142857142
17,apache_commons,mlp_cla_new,24,0.004408916899578686,0.00438247267153451,0.09950500726699829,2.2142857142857144,0.07142857142857142,291.5357142857143,0.44752545806958144,0.9761904761904762,123.0,134.42857142857142
18,apache_commons,mlp_cla_new,25,0.0040658050848169135,0.0040419397857204145,0.10113779136112758,2.0357142857142856,0.25,311.85714285714283,0.3141184369114559,0.9166666666666667,123.0,134.42857142857142
19,apache_commons,mlp_cla_new,26,0.004408916899578686,0.00438247267153451,0.10115339074816022,2.2142857142857144,0.07142857142857142,324.07142857142856,0.3557959549481308,0.9761904761904762,123.0,134.42857142857142
20,apache_commons,mlp_cla_new,27,0.004173052255317096,0.00414853991003859,0.10288607222693306,2.107142857142857,0.17857142857142858,355.42857142857144,0.20592498158522446,0.9404761904761905,123.0,134.42857142857142
21,apache_commons,mlp_cla_new,28,0.00424755717496595,0.004221841981822133,0.0986389262335641,2.107142857142857,0.17857142857142858,269.82142857142856,0.424376103648432,0.9404761904761905,123.0,134.42857142857142
22,apache_commons,mlp_cla_new,29,0.004325080548136701,0.00429962031482776,0.10255615200315203,2.1785714285714284,0.10714285714285714,333.17857142857144,0.3264626720609696,0.9642857142857143,123.0,134.42857142857142
23,apache_commons,mlp_cla_new,3,0.004143328457987664,0.004119718118726042,0.0972761767251151,2.107142857142857,0.17857142857142858,445.82142857142856,0.13577048700883182,0.9404761904761905,123.0,134.42857142857142
24,apache_commons,mlp_cla_new,4,0.003981968733374927,0.003959087429013664,0.09849874462400164,2.0,0.2857142857142857,384.89285714285717,0.17077292077692086,0.9047619047619048,123.0,134.42857142857142
25,apache_commons,mlp_cla_new,5,0.0040658050848169135,0.0040419397857204145,0.09973934718540736,2.0357142857142856,0.25,352.9642857142857,0.21025817639589778,0.9166666666666667,123.0,134.42857142857142
26,apache_commons,mlp_cla_new,6,0.0040658050848169135,0.0040419397857204145,0.09904766934258598,2.0357142857142856,0.25,281.7857142857143,0.3480848395008804,0.9166666666666667,123.0,134.42857142857142
