,env,rewardfun,iteration,rewards,rewards_variance,durations,detected,missed,ttf,napfd,recall,avg_precision,step
0,apache_commons,add_tcfail_1,0,0.009627467448577042,0.018901730613029487,0.11572939157485962,2.2857142857142856,0.0,235.67857142857142,0.5285403601528419,1.0,123.0,134.42857142857142
1,apache_commons,add_tcfail_1,1,0.009627467448577042,0.018901730613029487,0.09646198579243251,2.2857142857142856,0.0,235.92857142857142,0.528920894515504,1.0,123.0,134.42857142857142
2,apache_commons,add_tcfail_1,10,0.009627467448577042,0.018901730613029487,0.10109789882387434,2.2857142857142856,0.0,235.60714285714286,0.5288849577210866,1.0,123.0,134.42857142857142
3,apache_commons,add_tcfail_1,11,0.009627467448577042,0.018901730613029487,0.0969686508178711,2.2857142857142856,0.0,235.35714285714286,0.5293946863704011,1.0,123.0,134.42857142857142
4,apache_commons,add_tcfail_1,12,0.006144958172467887,0.011987442029832691,0.09917018243244716,1.3214285714285714,0.9642857142857143,1.2142857142857142,0.4376067352571858,0.44642857142857145,123.0,134.42857142857142
5,apache_commons,add_tcfail_1,13,0.009627467448577042,0.018901730613029487,0.10166143519537789,2.2857142857142856,0.0,226.75,0.5228775001852223,1.0,123.0,134.42857142857142
6,apache_commons,add_tcfail_1,14,0.009627467448577042,0.018901730613029487,0.12366843223571777,2.2857142857142856,0.0,256.42857142857144,0.48710827805796164,1.0,123.0,134.42857142857142
7,apache_commons,add_tcfail_1,15,0.009627467448577042,0.018901730613029487,0.12195372581481934,2.2857142857142856,0.0,234.89285714285714,0.530619182586982,1.0,123.0,134.42857142857142
8,apache_commons,add_tcfail_1,16,0.009627467448577042,0.018901730613029487,0.12103282553809029,2.2857142857142856,0.0,225.71428571428572,0.5406251719419254,1.0,123.0,134.42857142857142
9,apache_commons,add_tcfail_1,17,0.009627467448577042,0.018901730613029487,0.09537174020494733,2.2857142857142856,0.0,235.17857142857142,0.5176596718583896,1.0,123.0,134.42857142857142
10,apache_commons,add_tcfail_1,18,0.009627467448577042,0.018901730613029487,0.09723233325140816,2.2857142857142856,0.0,226.5,0.5283858551846053,1.0,123.0,134.42857142857142
11,apache_commons,add_tcfail_1,19,0.009627467448577042,0.018901730613029487,0.10188229594911848,2.2857142857142856,0.0,258.14285714285717,0.49785540854450855,1.0,123.0,134.42857142857142
12,apache_commons,add_tcfail_1,2,0.009627467448577042,0.018901730613029487,0.10045725107192993,2.2857142857142856,0.0,236.07142857142858,0.5341845151498041,1.0,123.0,134.42857142857142
13,apache_commons,add_tcfail_1,20,0.009627467448577042,0.018901730613029487,0.09794742720467704,2.2857142857142856,0.0,234.03571428571428,0.5205588445107822,1.0,123.0,134.42857142857142
14,apache_commons,add_tcfail_1,21,0.009627467448577042,0.018901730613029487,0.09577089548110962,2.2857142857142856,0.0,235.42857142857142,0.529823505163774,1.0,123.0,134.42857142857142
15,apache_commons,add_tcfail_1,22,0.009627467448577042,0.018901730613029487,0.10044720343181066,2.2857142857142856,0.0,235.67857142857142,0.5295149352299181,1.0,123.0,134.42857142857142
16,apache_commons,add_tcfail_1,23,0.009627467448577042,0.018901730613029487,0.09717466150011335,2.2857142857142856,0.0,234.28571428571428,0.5295223703385206,1.0,123.0,134.42857142857142
17,apache_commons,add_tcfail_1,24,0.009627467448577042,0.018901730613029487,0.09915913002831596,2.2857142857142856,0.0,226.32142857142858,0.5460882274220178,1.0,123.0,134.42857142857142
18,apache_commons,add_tcfail_1,25,0.009627467448577042,0.018901730613029487,0.09821838991982597,2.2857142857142856,0.0,235.32142857142858,0.5348634224135568,1.0,123.0,134.42857142857142
19,apache_commons,add_tcfail_1,26,0.009627467448577042,0.018901730613029487,0.10414157594953265,2.2857142857142856,0.0,234.32142857142858,0.5299700187180838,1.0,123.0,134.42857142857142
20,apache_commons,add_tcfail_1,27,0.009627467448577042,0.018901730613029487,0.09423314673560006,2.2857142857142856,0.0,226.42857142857142,0.5234013279055464,1.0,123.0,134.42857142857142
21,apache_commons,add_tcfail_1,28,0.009627467448577042,0.018901730613029487,0.09695925882884435,2.2857142857142856,0.0,225.10714285714286,0.5416602840974785,1.0,123.0,134.42857142857142
22,apache_commons,add_tcfail_1,29,0.009627467448577042,0.018901730613029487,0.09796860388347081,2.2857142857142856,0.0,225.67857142857142,0.5408182412337006,1.0,123.0,134.42857142857142
23,apache_commons,add_tcfail_1,3,0.009627467448577042,0.018901730613029487,0.12576958962849208,2.2857142857142856,0.0,234.67857142857142,0.5194608936534169,1.0,123.0,134.42857142857142
24,apache_commons,add_tcfail_1,4,0.009627467448577042,0.018901730613029487,0.10772348301751274,2.2857142857142856,0.0,234.28571428571428,0.5299785451987544,1.0,123.0,134.42857142857142
25,apache_commons,add_tcfail_1,5,0.009627467448577042,0.018901730613029487,0.09870425292423793,2.2857142857142856,0.0,235.89285714285714,0.5286775281237637,1.0,123.0,134.42857142857142
26,apache_commons,add_tcfail_1,6,0.009627467448577042,0.018901730613029487,0.10217231512069702,2.2857142857142856,0.0,234.85714285714286,0.5178896437536088,1.0,123.0,134.42857142857142
27,apache_commons,add_tcfail_1,7,0.009627467448577042,0.018901730613029487,0.09998774528503418,2.2857142857142856,0.0,225.5,0.5410249312829166,1.0,123.0,134.42857142857142
28,apache_commons,add_tcfail_1,8,0.009627467448577042,0.018901730613029487,0.0971294811793736,2.2857142857142856,0.0,226.42857142857142,0.5402642690124919,1.0,123.0,134.42857142857142
