,env,rewardfun,agent,rewards,rewards_variance,durations,detected,missed,ttf,napfd,recall,avg_precision,step
0,apache_commons,add_tcfail_v1_2,mlp_cla_new,0.028007851495845792,0.031165362593619756,0.12083131664401882,2.1950549450549453,0.09065934065934066,239.08241758241758,0.5098978412077995,0.9693223443223444,123.0,134.42857142857142
1,apache_commons,add_tcfail_v1_3,mlp_cla_new,0.04234885208220844,0.038474797876154404,0.11124707087055667,2.0576923076923075,0.22802197802197802,226.10576923076923,0.48263137615324053,0.9024725274725275,123.0,134.42857142857142
2,apache_commons,add_tcfail_v1_4,mlp_cla_new,0.05241654710251831,0.04116717087776929,0.11560566903470637,1.6854395604395604,0.6002747252747253,166.0260989010989,0.43247046037623327,0.7163461538461542,123.0,134.42857142857142
3,apache_commons,add_tcfail_v1_5,mlp_cla_new,0.05256834002867515,0.040948006664142736,0.11120593187573193,1.6263736263736264,0.6593406593406593,137.45192307692307,0.426096606912184,0.6719322344322349,123.0,134.42857142857142
4,apache_commons,add_tcfail_v1_6,mlp_cla_new,0.05300606558254593,0.04143575823578972,0.10789542276780684,1.6662087912087913,0.6195054945054945,147.5,0.4361798140217931,0.6936813186813191,123.0,134.42857142857142
5,apache_drill,add_tcfail_v1_2,mlp_cla_new,0.45123595651164505,0.38837651294598907,0.02520298887286666,4.715976331360947,3.091715976331361,5.510355029585799,0.5340925872255514,0.7325605662144127,123.0,100.88461538461539
6,apache_drill,add_tcfail_v1_3,mlp_cla_new,0.5123593130064564,0.39030876026131567,0.03759448768119135,4.542899408284024,3.264792899408284,6.337278106508876,0.5076804548299111,0.7178580678580683,123.0,100.88461538461539
7,apache_drill,add_tcfail_v1_4,mlp_cla_new,0.5648980630481496,0.36868202929201616,0.030187833238635543,4.476331360946745,3.331360946745562,7.5266272189349115,0.4587884555497293,0.6604451815990283,123.0,100.88461538461539
8,apache_drill,add_tcfail_v1_5,mlp_cla_new,0.6259928399205995,0.37275709769170473,0.029355203611610908,4.451183431952662,3.356508875739645,7.3698224852071,0.4567057557965848,0.6615021018867175,123.0,100.88461538461539
9,apache_drill,add_tcfail_v1_6,mlp_cla_new,0.67762562840896,0.36488521383262273,0.03164178344624988,4.279585798816568,3.5281065088757395,7.983727810650888,0.44482318218792366,0.6586032912955995,123.0,100.88461538461539
10,apache_hive,add_tcfail_v1_2,mlp_cla_new,1.0210131794441248,0.04063422176951547,0.05960886524273799,1.3461538461538463,1.4038461538461537,176.48076923076923,0.23379133205797148,0.6028846153846151,123.0,2.5
11,apache_hive,add_tcfail_v1_3,mlp_cla_new,1.0169694448268478,0.033033919913656944,0.06612558089769803,1.0673076923076923,1.6826923076923077,138.9903846153846,0.18303233403730965,0.4730769230769229,123.0,2.5
12,apache_hive,add_tcfail_v1_4,mlp_cla_new,1.0188027928037473,0.036359934558142,0.06322045280383183,1.125,1.625,141.90384615384616,0.16759552205683842,0.45673076923076905,123.0,2.5
13,apache_hive,add_tcfail_v1_5,mlp_cla_new,1.020098932949941,0.03889275398941391,0.0594121882548699,1.1634615384615385,1.5865384615384615,136.78846153846155,0.21211111919127718,0.5125,123.0,2.5
14,apache_hive,add_tcfail_v1_6,mlp_cla_new,1.022094819544873,0.04252331361389712,0.056117151792232804,1.25,1.5,144.4903846153846,0.22575492732961333,0.5403846153846152,123.0,2.5
15,apache_parquet,add_tcfail_v1_2,mlp_cla_new,0.05299867052627995,0.08528929445875089,0.025089614813649158,2.6189131968948485,0.20677487649964715,25.593860268172193,0.6603940193357074,0.9314213430220214,123.0,720.4587155963303
16,apache_parquet,add_tcfail_v1_3,mlp_cla_new,0.053556821430195,0.08614401882735921,0.024966867607752033,2.6189131968948485,0.20677487649964715,27.02893436838391,0.6487130500822289,0.9321256121956286,123.0,720.4587155963303
17,apache_parquet,add_tcfail_v1_4,mlp_cla_new,0.05381317148354098,0.08669798367914423,0.021460679019936056,2.6072688779110798,0.21841919548341568,25.976005645730417,0.6594557222392797,0.9289383801455287,123.0,720.4587155963303
18,apache_parquet,add_tcfail_v1_5,mlp_cla_new,0.05453050781218022,0.08781143423994159,0.02115193377436259,2.6072688779110798,0.21841919548341568,26.49788285109386,0.6529262438145113,0.9293413491385506,123.0,720.4587155963303
19,apache_parquet,add_tcfail_v1_6,mlp_cla_new,0.05495207770946726,0.08825084180832155,0.020463291153406372,2.595624558927311,0.2300635144671842,24.170430486944248,0.6618304372333258,0.9237020624635323,123.0,720.4587155963303
20,apache_tajo,add_tcfail_v1_2,mlp_cla_new,0.031479946517667924,0.05359052686378063,0.029325353498953106,2.3733702737940026,0.4581975228161669,83.58621251629727,0.40252626439717065,0.8206471994722598,123.0,1983.635593220339
21,apache_tajo,add_tcfail_v1_3,mlp_cla_new,0.03174711307728058,0.05403461887615798,0.030327619071734153,2.391737288135593,0.4398305084745763,86.76088983050848,0.39962585020049063,0.8317267824896054,123.0,1983.635593220339
22,apache_tajo,add_tcfail_v1_4,mlp_cla_new,0.03121019238444834,0.05319232801335603,0.029395568855738234,2.3282627118644066,0.5033050847457627,83.81322033898306,0.39176625610630267,0.8132913436445588,123.0,1983.635593220339
23,apache_tajo,add_tcfail_v1_5,mlp_cla_new,0.03150768131938953,0.05363188884109131,0.02933811674683781,2.3485169491525424,0.4830508474576271,86.90063559322034,0.3902540323569283,0.8238591268471652,123.0,1983.635593220339
24,apache_tajo,add_tcfail_v1_6,mlp_cla_new,0.03172823015533703,0.05206934286042406,0.02993950731673483,2.265677966101695,0.5658898305084745,79.3997033898305,0.3937707235663118,0.7909782538298793,123.0,1983.635593220339
