,env,rewardfun,agent,rewards,rewards_variance,durations,detected,missed,ttf,napfd,recall,avg_precision,step
0,apache_commons,tcfail,mlp_cla_new,0.00419582560113237,0.0041710781479515945,0.10097237144197736,2.1083333333333334,0.1773809523809524,322.2785714285714,0.31465281249987603,0.940873015873016,123.0,134.42857142857142
1,apache_commons,tcfail,mlp_cla_old,0.004099263922226099,0.004074980058039787,0.11041590088889712,2.044047619047619,0.24166666666666667,348.53333333333336,0.2514393235400094,0.9194444444444448,123.0,134.42857142857142
2,apache_drill,tcfail,mlp_cla_new,0.07869187610831464,0.06408378222720265,0.01021189964734591,4.3448717948717945,3.462820512820513,12.524358974358975,0.3255300541223335,0.6223096348096352,123.0,100.88461538461539
3,apache_drill,tcfail,mlp_cla_old,0.08560544446217452,0.06575282684732328,0.011549845108619103,5.383333333333334,2.424358974358974,12.332051282051282,0.32579494718784413,0.6471779763446435,123.0,100.88461538461539
4,apache_hive,tcfail,mlp_cla_new,0.010877445197049161,0.010479474127883947,0.06471145550409953,1.25,1.5,131.64166666666668,0.21552056883987827,0.5049999999999998,123.0,2.5
5,apache_hive,tcfail,mlp_cla_old,0.010486220213511118,0.010138216740552144,0.07446115016937256,1.225,1.525,119.64166666666667,0.26075776722508104,0.5254166666666665,123.0,2.5
6,apache_parquet,tcfail,mlp_cla_new,0.01984072321676014,0.019116329743805026,0.020043046904630983,2.573394495412844,0.25229357798165136,48.095412844036694,0.48205504160889756,0.9233988258107064,123.0,720.4587155963303
7,apache_parquet,tcfail,mlp_cla_old,0.01918503580978995,0.01851710768927781,0.019636176193890586,2.578899082568807,0.2467889908256881,48.392354740061165,0.48175276689656094,0.9233839951560888,123.0,720.4587155963303
8,apache_tajo,tcfail,mlp_cla_new,0.01244428927637176,0.01137632605977808,0.031122057291410737,2.0580861581920904,0.773481638418079,88.66641949152542,0.2652595439112386,0.705355696569593,123.0,1983.635593220339
9,apache_tajo,tcfail,mlp_cla_old,0.012702138259772578,0.011587350345948363,0.031051415583844912,2.101906779661017,0.7296610169491525,85.2301906779661,0.28263300168320704,0.7097954675830209,123.0,1983.635593220339
10,dspace,tcfail,mlp_cla_new,0.2038546480342774,0.10640800538086921,0.010773788752541265,11.363302752293578,5.719266055045871,17.359327217125383,0.35177691107806114,0.6570667031505253,123.0,1612.5
11,dspace,tcfail,mlp_cla_old,0.19619239720965062,0.10377416969170786,0.010727018245498704,10.924617737003057,6.1579510703363916,17.58975535168196,0.34354874322714385,0.6451602713036827,123.0,1612.5
12,google_auto,tcfail,mlp_cla_new,0.03567552236634361,0.0322469144459081,0.026414909816923595,0.8206349206349206,0.5126984126984127,6.3317460317460315,0.2194063819714271,0.5317460317460317,123.0,261.2857142857143
13,google_auto,tcfail,mlp_cla_old,0.03476722666439712,0.031396012840183174,0.02579575568910629,0.780952380952381,0.5523809523809524,7.919047619047619,0.20431034462176637,0.5103174603174603,123.0,261.2857142857143
14,google_closure,tcfail,mlp_cla_new,0.0337113849939962,0.013999885044750679,0.03709505997347028,4.559550561797753,0.6764044943820224,111.15205992509364,0.22055109749482252,0.6311154908255477,123.0,1126.1011235955057
15,google_closure,tcfail,mlp_cla_old,0.03384744369166619,0.01405864837819851,0.0366163414515806,4.587265917602997,0.648689138576779,107.19176029962547,0.2510337835554716,0.6450103006433202,123.0,1126.1011235955057
16,google_guava,tcfail,mlp_cla_new,0.0027699678253479713,0.002760733038395616,0.17420660324585743,2.9512820512820515,0.1564102564102564,244.71589743589743,0.6549644805495058,0.9357777777777777,123.0,132.73846153846154
17,google_guava,tcfail,mlp_cla_old,0.00277563173446361,0.0027663808643693198,0.181990751853356,2.956923076923077,0.15076923076923077,237.58358974358976,0.6668823093668765,0.9372136752136753,123.0,132.73846153846154
18,iofrol,tcfail,mlp_cla_new,0.16576135391223304,0.10768811292115726,0.020666154900160223,16.90959409594096,17.367158671586715,4.423616236162362,0.28127928346873404,0.37500312997986823,123.0,158.690036900369
19,iofrol,tcfail,mlp_cla_old,0.16235710956786353,0.1047268521684152,0.021686269231094794,16.1309963099631,18.145756457564577,6.526691266912669,0.25615552348975024,0.3506051589304134,123.0,158.690036900369
20,mybatis,tcfail,mlp_cla_new,0.025353379843348133,0.020396890828197924,0.14249949007323293,20.673939393939396,1.5078787878787878,113.73333333333333,0.6905749958700081,0.8647761830123912,123.0,404.45454545454544
21,mybatis,tcfail,mlp_cla_old,0.02509962971320192,0.02021240328368488,0.14515439640391956,20.454545454545453,1.7272727272727273,135.90242424242425,0.6639841087210129,0.8532153751102046,123.0,404.45454545454544
22,paintcontrol,tcfail,mlp_cla_new,0.12290147644565579,0.0734737559415534,0.014860452628475837,11.67846952010376,7.605577172503242,5.675226977950714,0.5048660221603847,0.6168002710711362,123.0,197.66926070038912
23,paintcontrol,tcfail,mlp_cla_old,0.12187191455262888,0.07241872465502991,0.015024200796926377,11.544098573281453,7.739948119325551,5.933981841763943,0.48174326651365273,0.5951020900861147,123.0,197.66926070038912
24,rails,tcfail,mlp_cla_new,0.019768161571170773,0.016205543543148355,0.06130657911572428,1.1665689627096565,1.207148672854584,41.03613418010096,0.3560578785363692,0.4920124931280455,123.0,1698.5476306790424
25,rails,tcfail,mlp_cla_old,0.019090820210280607,0.015674226200366945,0.06049059628081466,1.1025077348965966,1.2712099006676436,49.847060739293276,0.3081141227647086,0.46650477844808413,123.0,1698.5476306790424
